Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17.417;;"HPDA ";"IAP ";"BI ";"VISUA ";"ICC ";"INEM ";CS;"CS "
Raymond;Bonnet;RaymondBonnet@cy-tech.fr;30;15.208;;"ICC ";"IAP ";"INEM ";"IAC ";"VISUA ";"BI ";HPDA;"CS "
Clémence;Leblanc;ClémenceLeblanc@cy-tech.fr;30;15.206;;"BI ";"IAC ";"ICC ";"INEM ";"VISUA ";"IAP ";HPDA;"CS "
Gilbert;Marin;GilbertMarin@cy-tech.fr;30;15.169;;"CS ";"VISUA ";"BI ";"INEM ";"IAP ";"ICC ";HPDA;"IAC "
Noémi;Humbert-Barbe;NoémiHumbert-Barbe@cy-tech.fr;30;15.128;;"BI ";"IAC ";"HPDA ";"VISUA ";"INEM ";"IAP ";ICC;"CS "
Étienne;de;Étiennede@cy-tech.fr;30;15.089;;"INEM ";"HPDA ";"VISUA ";"IAC ";"ICC ";"BI ";IAP;"CS "
Philippine;de;Philippinede@cy-tech.fr;30;15.056;;"VISUA ";"CS ";"ICC ";"IAP ";"IAC ";"BI ";HPDA;"INEM "
Juliette;Thibault;JulietteThibault@cy-tech.fr;30;15.004;;"IAP ";"VISUA ";"CS ";"INEM ";"HPDA ";"ICC ";BI;"IAC "
François;de;Françoisde@cy-tech.fr;30;14.982;;"ICC ";"IAP ";"INEM ";"IAC ";"CS ";"BI ";HPDA;"VISUA "
Léon;du;Léondu@cy-tech.fr;30;14.927;;"IAC ";"ICC ";"HPDA ";"INEM ";"VISUA ";"BI ";CS;"IAP "
Maurice;Alves;MauriceAlves@cy-tech.fr;30;14.918;;"VISUA ";"IAC ";"CS ";"HPDA ";"BI ";"IAP ";ICC;"INEM "
Marie;Blanc;MarieBlanc@cy-tech.fr;30;14.894;;"IAC ";"INEM ";"BI ";"ICC ";"IAP ";"HPDA ";VISUA;"CS "
Denise-Alexandrie;Clement;Denise-AlexandrieClement@cy-tech.fr;30;14.88;;"IAP ";"CS ";"BI ";"HPDA ";"INEM ";"ICC ";VISUA;"IAC "
Luc;Ribeiro;LucRibeiro@cy-tech.fr;30;14.854;;"INEM ";"VISUA ";"IAC ";"ICC ";"IAP ";"HPDA ";BI;"CS "
Charlotte;du;Charlottedu@cy-tech.fr;30;14.849;;"IAC ";"VISUA ";"INEM ";"BI ";"ICC ";"IAP ";HPDA;"CS "
Michèle;du;Michèledu@cy-tech.fr;30;14.835;;"HPDA ";"ICC ";"IAC ";"INEM ";"CS ";"VISUA ";BI;"IAP "
Hortense;Maillet;HortenseMaillet@cy-tech.fr;30;14.732;;"CS ";"VISUA ";"BI ";"IAP ";"ICC ";"HPDA ";INEM;"IAC "
Françoise;Chauveau;FrançoiseChauveau@cy-tech.fr;30;14.724;;"INEM ";"IAP ";"IAC ";"CS ";"HPDA ";"ICC ";BI;"VISUA "
Jeanne;Le;JeanneLe@cy-tech.fr;30;14.689;;"CS ";"INEM ";"IAP ";"BI ";"HPDA ";"ICC ";VISUA;"IAC "
Louis;Giraud;LouisGiraud@cy-tech.fr;30;14.683;;"INEM ";"IAC ";"CS ";"VISUA ";"HPDA ";"IAP ";ICC;"BI "
Hugues;Lemaire;HuguesLemaire@cy-tech.fr;30;14.65;;"ICC ";"INEM ";"IAC ";"VISUA ";"BI ";"IAP ";HPDA;"CS "
Yves;Roy-Perret;YvesRoy-Perret@cy-tech.fr;30;14.635;;"CS ";"IAC ";"BI ";"VISUA ";"IAP ";"ICC ";HPDA;"INEM "
Isaac;Riou;IsaacRiou@cy-tech.fr;30;14.633;;"IAC ";"INEM ";"BI ";"VISUA ";"ICC ";"IAP ";HPDA;"CS "
Daniel;Mace-Carre;DanielMace-Carre@cy-tech.fr;30;14.632;;"IAC ";"VISUA ";"IAP ";"CS ";"INEM ";"ICC ";BI;"HPDA "
Laurence;Normand;LaurenceNormand@cy-tech.fr;30;14.573;;"HPDA ";"ICC ";"IAC ";"BI ";"VISUA ";"CS ";INEM;"IAP "
Antoine;Etienne;AntoineEtienne@cy-tech.fr;30;14.559;;"INEM ";"VISUA ";"BI ";"IAC ";"HPDA ";"ICC ";IAP;"CS "
Éric;Le;ÉricLe@cy-tech.fr;30;14.557;;"INEM ";"IAP ";"CS ";"IAC ";"ICC ";"HPDA ";BI;"VISUA "
Lucas;Rolland;LucasRolland@cy-tech.fr;30;14.549;;"IAP ";"IAC ";"BI ";"VISUA ";"CS ";"ICC ";INEM;"HPDA "
Frédérique;Barre-Vallee;FrédériqueBarre-Vallee@cy-tech.fr;30;14.522;;"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"HPDA ";ICC;"CS "
Laurence;Bailly;LaurenceBailly@cy-tech.fr;30;14.516;;"IAP ";"IAC ";"ICC ";"CS ";"VISUA ";"BI ";HPDA;"INEM "
Noémi;Evrard;NoémiEvrard@cy-tech.fr;30;14.495;;"ICC ";"HPDA ";"IAC ";"BI ";"CS ";"INEM ";VISUA;"IAP "
Thibault;Faivre;ThibaultFaivre@cy-tech.fr;30;14.348;;"IAP ";"HPDA ";"IAC ";"CS ";"BI ";"VISUA ";INEM;"ICC "
Suzanne;de;Suzannede@cy-tech.fr;30;14.33;;"IAP ";"VISUA ";"CS ";"HPDA ";"INEM ";"ICC ";BI;"IAC "
Eugène;Dumas;EugèneDumas@cy-tech.fr;30;14.321;;"BI ";"CS ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;"IAC "
Michelle;Vidal;MichelleVidal@cy-tech.fr;30;14.318;;"ICC ";"VISUA ";"INEM ";"BI ";"IAC ";"IAP ";HPDA;"CS "
René;Gomez;RenéGomez@cy-tech.fr;30;14.276;;"IAC ";"BI ";"INEM ";"IAP ";"ICC ";"HPDA ";VISUA;"CS "
Denise;Lebreton;DeniseLebreton@cy-tech.fr;30;14.272;;"VISUA ";"CS ";"INEM ";"BI ";"IAP ";"HPDA ";ICC;"IAC "
David;Godard-Clerc;DavidGodard-Clerc@cy-tech.fr;30;14.256;;"ICC ";"IAC ";"INEM ";"VISUA ";"CS ";"BI ";HPDA;"IAP "
François;Leroux;FrançoisLeroux@cy-tech.fr;30;14.251;;"IAP ";"CS ";"BI ";"ICC ";"HPDA ";"INEM ";VISUA;"IAC "
Célina;Cordier;CélinaCordier@cy-tech.fr;30;14.246;;"CS ";"IAP ";"IAC ";"BI ";"VISUA ";"INEM ";HPDA;"ICC "
Marcelle;Turpin;MarcelleTurpin@cy-tech.fr;30;14.244;;"IAC ";"INEM ";"ICC ";"IAP ";"BI ";"HPDA ";VISUA;"CS "
Benjamin;Guillou;BenjaminGuillou@cy-tech.fr;30;14.225;;"INEM ";"CS ";"IAP ";"IAC ";"VISUA ";"BI ";HPDA;"ICC "
Lucas;Renault-Jean;LucasRenault-Jean@cy-tech.fr;30;14.207;;"BI ";"ICC ";"CS ";"VISUA ";"IAP ";"INEM ";HPDA;"IAC "
Gabriel;du;Gabrieldu@cy-tech.fr;30;14.198;;"IAP ";"HPDA ";"CS ";"IAC ";"VISUA ";"INEM ";BI;"ICC "
Anaïs;de;Anaïsde@cy-tech.fr;30;14.185;;"CS ";"INEM ";"IAC ";"BI ";"ICC ";"HPDA ";IAP;"VISUA "
Agathe;Techer;AgatheTecher@cy-tech.fr;30;14.182;;"IAC ";"BI ";"ICC ";"INEM ";"VISUA ";"IAP ";HPDA;"CS "
Étienne;du;Étiennedu@cy-tech.fr;30;14.17;;"IAC ";"INEM ";"VISUA ";"BI ";"ICC ";"IAP ";HPDA;"CS "
Andrée;Richard;AndréeRichard@cy-tech.fr;30;14.137;;"CS ";"IAC ";"HPDA ";"INEM ";"ICC ";"BI ";VISUA;"IAP "
Antoinette;Chevallier;AntoinetteChevallier@cy-tech.fr;30;14.125;;"INEM ";"BI ";"IAC ";"VISUA ";"IAP ";"HPDA ";ICC;"CS "
Alphonse;Le;AlphonseLe@cy-tech.fr;30;14.121;;"IAC ";"CS ";"VISUA ";"HPDA ";"IAP ";"ICC ";INEM;"BI "
Lucas;Maillard;LucasMaillard@cy-tech.fr;30;13.923;;"INEM ";"CS ";"IAC ";"VISUA ";"IAP ";"ICC ";HPDA;"BI "
André;Leleu;AndréLeleu@cy-tech.fr;30;13.798;;"INEM ";"IAC ";"ICC ";"BI ";"VISUA ";"IAP ";HPDA;"CS "
Emmanuel;Riou;EmmanuelRiou@cy-tech.fr;30;13.785;;"IAC ";"VISUA ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;"CS "
David;Lesage;DavidLesage@cy-tech.fr;30;13.775;;"CS ";"IAC ";"ICC ";"INEM ";"IAP ";"BI ";HPDA;"VISUA "
Grégoire;Dubois;GrégoireDubois@cy-tech.fr;30;13.753;;"VISUA ";"INEM ";"IAC ";"ICC ";"BI ";"IAP ";HPDA;"CS "
Paulette;Leclercq;PauletteLeclercq@cy-tech.fr;30;13.729;;"IAP ";"IAC ";"VISUA ";"INEM ";"CS ";"BI ";HPDA;"ICC "
Thierry;Faure;ThierryFaure@cy-tech.fr;30;13.724;;"HPDA ";"BI ";"ICC ";"IAC ";"VISUA ";"INEM ";CS;"IAP "
Pierre;Boyer;PierreBoyer@cy-tech.fr;30;13.718;;"CS ";"IAC ";"VISUA ";"IAP ";"BI ";"ICC ";HPDA;"INEM "
Éric;Benard-Charpentier;ÉricBenard-Charpentier@cy-tech.fr;30;13.689;;"CS ";"ICC ";"IAP ";"VISUA ";"INEM ";"BI ";HPDA;"IAC "
Marcelle;Gauthier-Martineau;MarcelleGauthier-Martineau@cy-tech.fr;30;13.572;;"INEM ";"IAP ";"CS ";"IAC ";"VISUA ";"BI ";HPDA;"ICC "
Christiane;Delmas;ChristianeDelmas@cy-tech.fr;30;13.454;;"IAC ";"INEM ";"VISUA ";"ICC ";"BI ";"IAP ";HPDA;"CS "
Corinne;Cousin;CorinneCousin@cy-tech.fr;30;13.436;;"ICC ";"IAP ";"IAC ";"INEM ";"HPDA ";"BI ";VISUA;"CS "
William;du;Williamdu@cy-tech.fr;30;13.426;;"INEM ";"CS ";"VISUA ";"IAC ";"IAP ";"HPDA ";ICC;"BI "
Renée;Maurice;RenéeMaurice@cy-tech.fr;30;13.418;;"IAP ";"IAC ";"VISUA ";"CS ";"HPDA ";"ICC ";BI;"INEM "
Jeanne;Poulain;JeannePoulain@cy-tech.fr;30;13.411;;"IAC ";"CS ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;"BI "
Zacharie;Weber;ZacharieWeber@cy-tech.fr;30;13.371;;"CS ";"IAP ";"HPDA ";"INEM ";"BI ";"IAC ";VISUA;"ICC "
Louis;Rousseau;LouisRousseau@cy-tech.fr;30;13.354;;"INEM ";"IAC ";"BI ";"CS ";"IAP ";"ICC ";HPDA;"VISUA "
Philippe;Hamel;PhilippeHamel@cy-tech.fr;30;13.291;;"IAP ";"CS ";"IAC ";"VISUA ";"HPDA ";"INEM ";BI;"ICC "
Élise;Mercier;ÉliseMercier@cy-tech.fr;30;13.287;;"IAC ";"IAP ";"CS ";"VISUA ";"INEM ";"ICC ";BI;"HPDA "
Bernard;Chauvet;BernardChauvet@cy-tech.fr;30;13.278;;"IAC ";"ICC ";"INEM ";"CS ";"VISUA ";"HPDA ";BI;"IAP "
Théodore;Pasquier;ThéodorePasquier@cy-tech.fr;30;13.274;;"IAC ";"VISUA ";"IAP ";"ICC ";"HPDA ";"BI ";INEM;"CS "
Adèle;Begue;AdèleBegue@cy-tech.fr;30;13.236;;"BI ";"INEM ";"IAP ";"HPDA ";"CS ";"VISUA ";ICC;"IAC "
Adrien;Dumont;AdrienDumont@cy-tech.fr;30;13.209;;"CS ";"VISUA ";"ICC ";"IAP ";"IAC ";"HPDA ";BI;"INEM "
Gilbert;Ferrand-Texier;GilbertFerrand-Texier@cy-tech.fr;30;13.16;;"ICC ";"IAP ";"IAC ";"INEM ";"VISUA ";"BI ";HPDA;"CS "
Anastasie;Rocher;AnastasieRocher@cy-tech.fr;30;13.151;;"ICC ";"HPDA ";"IAC ";"BI ";"CS ";"INEM ";VISUA;"IAP "
Franck;Le;FranckLe@cy-tech.fr;30;13.115;;"IAP ";"CS ";"IAC ";"INEM ";"HPDA ";"BI ";VISUA;"ICC "
Michel;Renault;MichelRenault@cy-tech.fr;30;13.111;;"IAP ";"IAC ";"CS ";"ICC ";"BI ";"INEM ";VISUA;"HPDA "
Margaud-Laure;Wagner;Margaud-LaureWagner@cy-tech.fr;30;13.095;;"INEM ";"IAP ";"HPDA ";"IAC ";"VISUA ";"CS ";BI;"ICC "
Suzanne;de;Suzannede@cy-tech.fr;30;13.063;;"IAC ";"INEM ";"BI ";"VISUA ";"IAP ";"ICC ";HPDA;"CS "
David;Ferrand;DavidFerrand@cy-tech.fr;30;13.017;;"INEM ";"BI ";"ICC ";"IAC ";"IAP ";"HPDA ";VISUA;"CS "
François;Duhamel;FrançoisDuhamel@cy-tech.fr;30;13.014;;"ICC ";"IAP ";"VISUA ";"INEM ";"IAC ";"BI ";HPDA;"CS "
Franck;Blot-Barbier;FranckBlot-Barbier@cy-tech.fr;30;12.99;;"IAC ";"VISUA ";"IAP ";"ICC ";"HPDA ";"INEM ";BI;"CS "
Benjamin;Martins;BenjaminMartins@cy-tech.fr;30;12.989;;"IAP ";"VISUA ";"CS ";"INEM ";"HPDA ";"ICC ";BI;"IAC "
Hugues;du;Huguesdu@cy-tech.fr;30;12.979;;"HPDA ";"IAC ";"ICC ";"CS ";"INEM ";"VISUA ";BI;"IAP "
Joséphine;Pons-Alves;JoséphinePons-Alves@cy-tech.fr;30;12.961;;"VISUA ";"CS ";"ICC ";"BI ";"INEM ";"IAP ";HPDA;"IAC "
Diane;Martin;DianeMartin@cy-tech.fr;30;12.893;;"CS ";"INEM ";"VISUA ";"HPDA ";"BI ";"IAP ";IAC;"ICC "
Auguste;Fournier;AugusteFournier@cy-tech.fr;30;12.886;;"VISUA ";"BI ";"HPDA ";"ICC ";"IAP ";"INEM ";CS;"IAC "
Théodore;Louis;ThéodoreLouis@cy-tech.fr;30;12.877;;"IAP ";"CS ";"VISUA ";"HPDA ";"ICC ";"BI ";INEM;"IAC "
Chantal;Joubert;ChantalJoubert@cy-tech.fr;30;12.875;;"IAC ";"VISUA ";"CS ";"IAP ";"ICC ";"BI ";HPDA;"INEM "
Inès;Bouvet;InèsBouvet@cy-tech.fr;30;12.822;;"INEM ";"VISUA ";"CS ";"IAP ";"HPDA ";"BI ";ICC;"IAC "
Sylvie;Le;SylvieLe@cy-tech.fr;30;12.802;;"IAC ";"INEM ";"VISUA ";"BI ";"IAP ";"HPDA ";ICC;"CS "
Anouk-Pénélope;Ollivier;Anouk-PénélopeOllivier@cy-tech.fr;30;12.756;;"CS ";"IAC ";"VISUA ";"BI ";"IAP ";"ICC ";HPDA;"INEM "
Olivie;Evrard;OlivieEvrard@cy-tech.fr;30;12.689;;"CS ";"IAC ";"VISUA ";"BI ";"IAP ";"ICC ";HPDA;"INEM "
François;Thomas;FrançoisThomas@cy-tech.fr;30;12.628;;"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";"ICC ";IAP;"BI "
Augustin;Roche;AugustinRoche@cy-tech.fr;30;12.601;;"CS ";"IAC ";"INEM ";"HPDA ";"IAP ";"ICC ";BI;"VISUA "
Marcelle;du;Marcelledu@cy-tech.fr;30;12.394;;"CS ";"IAP ";"BI ";"ICC ";"HPDA ";"INEM ";VISUA;"IAC "
André;Bouvier;AndréBouvier@cy-tech.fr;30;12.333;;"IAC ";"CS ";"VISUA ";"INEM ";"HPDA ";"IAP ";ICC;"BI "
Antoine;Loiseau;AntoineLoiseau@cy-tech.fr;30;12.307;;"BI ";"VISUA ";"ICC ";"INEM ";"CS ";"HPDA ";IAP;"IAC "
Jérôme;Pottier;JérômePottier@cy-tech.fr;30;12.294;;"BI ";"IAC ";"HPDA ";"ICC ";"INEM ";"VISUA ";IAP;"CS "
Julie;Lesage;JulieLesage@cy-tech.fr;30;12.279;;"INEM ";"IAC ";"CS ";"IAP ";"BI ";"HPDA ";ICC;"VISUA "
Jacques;Guibert;JacquesGuibert@cy-tech.fr;30;12.247;;"IAC ";"VISUA ";"INEM ";"HPDA ";"ICC ";"CS ";BI;"IAP "
Paulette-Valérie;Albert;Paulette-ValérieAlbert@cy-tech.fr;30;12.222;;"IAP ";"HPDA ";"CS ";"IAC ";"INEM ";"BI ";VISUA;"ICC "
Antoine;Lefort-Letellier;AntoineLefort-Letellier@cy-tech.fr;30;12.126;;"CS ";"IAP ";"IAC ";"BI ";"HPDA ";"ICC ";VISUA;"INEM "
Josette;de;Josettede@cy-tech.fr;30;11.888;;"BI ";"IAC ";"INEM ";"VISUA ";"HPDA ";"IAP ";ICC;"CS "
Pénélope;Deschamps;PénélopeDeschamps@cy-tech.fr;30;11.881;;"IAP ";"HPDA ";"CS ";"ICC ";"VISUA ";"INEM ";BI;"IAC "
Thérèse;Meyer;ThérèseMeyer@cy-tech.fr;30;11.74;;"INEM ";"IAC ";"ICC ";"IAP ";"VISUA ";"BI ";HPDA;"CS "
Marcel;Guyot;MarcelGuyot@cy-tech.fr;30;11.629;;"INEM ";"IAC ";"IAP ";"HPDA ";"ICC ";"BI ";VISUA;"CS "
Daniel;Bernard;DanielBernard@cy-tech.fr;30;11.59;;"ICC ";"VISUA ";"BI ";"IAC ";"CS ";"INEM ";HPDA;"IAP "
Julie;Fernandez;JulieFernandez@cy-tech.fr;30;11.349;;"CS ";"HPDA ";"IAP ";"IAC ";"INEM ";"VISUA ";BI;"ICC "
Hugues;Lesage;HuguesLesage@cy-tech.fr;30;11.169;;"IAC ";"CS ";"IAP ";"ICC ";"VISUA ";"BI ";HPDA;"INEM "
Zoé;Guibert-Huet;ZoéGuibert-Huet@cy-tech.fr;30;11.063;;"BI ";"VISUA ";"CS ";"ICC ";"HPDA ";"IAC ";IAP;"INEM "
Augustin;Gauthier;AugustinGauthier@cy-tech.fr;15;14.286;;"CS ";"VISUA ";"IAP ";"IAC ";"ICC ";"BI ";HPDA;"INEM "
Luce;Le;LuceLe@cy-tech.fr;15;13.628;;"INEM ";"CS ";"BI ";"VISUA ";"IAP ";"IAC ";HPDA;"ICC "
Monique;Lecomte;MoniqueLecomte@cy-tech.fr;15;13.528;;"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"HPDA ";IAP;"BI "
Gérard;Dufour;GérardDufour@cy-tech.fr;15;13.036;;"CS ";"IAC ";"ICC ";"VISUA ";"HPDA ";"INEM ";IAP;"BI "
William;Andre;WilliamAndre@cy-tech.fr;15;12.897;;"CS ";"VISUA ";"IAC ";"INEM ";"ICC ";"IAP ";HPDA;"BI "
Gabriel;Blanchet;GabrielBlanchet@cy-tech.fr;15;12.597;;"IAC ";"ICC ";"CS ";"HPDA ";"IAP ";"INEM ";VISUA;"BI "
Stéphane;Boulanger;StéphaneBoulanger@cy-tech.fr;15;12.471;;"INEM ";"ICC ";"IAP ";"IAC ";"HPDA ";"BI ";VISUA;"CS "
Alfred;Loiseau;AlfredLoiseau@cy-tech.fr;15;12.233;;"CS ";"HPDA ";"VISUA ";"BI ";"INEM ";"IAP ";ICC;"IAC "
Brigitte;Le;BrigitteLe@cy-tech.fr;15;12.217;;"CS ";"IAC ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;"VISUA "
Alice;Guillot;AliceGuillot@cy-tech.fr;15;12.06;;"VISUA ";"INEM ";"IAC ";"IAP ";"BI ";"ICC ";HPDA;"CS "
Frédérique;Maillot-Guyot;FrédériqueMaillot-Guyot@cy-tech.fr;15;11.851;;"INEM ";"IAC ";"HPDA ";"IAP ";"VISUA ";"CS ";ICC;"BI "
Lucy;Le;LucyLe@cy-tech.fr;15;11.79;;"IAC ";"BI ";"INEM ";"IAP ";"ICC ";"VISUA ";HPDA;"CS "
Madeleine;Charpentier-Leroux;MadeleineCharpentier-Leroux@cy-tech.fr;15;11.763;;"CS ";"BI ";"VISUA ";"INEM ";"HPDA ";"IAP ";ICC;"IAC "
Emmanuel;du;Emmanueldu@cy-tech.fr;15;11.617;;"BI ";"HPDA ";"IAP ";"VISUA ";"CS ";"INEM ";ICC;"IAC "
Bernard;de;Bernardde@cy-tech.fr;15;11.602;;"INEM ";"BI ";"IAC ";"VISUA ";"IAP ";"ICC ";HPDA;"CS "
Céline;Auger;CélineAuger@cy-tech.fr;15;11.535;;"INEM ";"CS ";"BI ";"VISUA ";"HPDA ";"IAP ";ICC;"IAC "
Auguste;Picard;AugustePicard@cy-tech.fr;15;11.53;;"ICC ";"IAC ";"CS ";"VISUA ";"INEM ";"HPDA ";BI;"IAP "
Augustin;Allain;AugustinAllain@cy-tech.fr;15;11.513;;"IAC ";"BI ";"INEM ";"VISUA ";"ICC ";"IAP ";HPDA;"CS "
Gilbert;Deschamps;GilbertDeschamps@cy-tech.fr;15;11.51;;;"ICC ";"IAC ";"VISUA ";"INEM ";"CS ";BI;"HPDA "
