Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17.417;"IAC ";"HPDA ";"IAP ";"BI ";"VISUA ";"ICC ";"INEM ";CS;1
Marie;Blanc;MarieBlanc@cy-tech.fr;30;14.894;"CS ";"IAC ";"INEM ";"BI ";"ICC ";"IAP ";"HPDA ";VISUA;53
Denise-Alexandrie;Clement;Denise-AlexandrieClement@cy-tech.fr;30;14.88;"IAC ";"IAP ";"CS ";"BI ";"HPDA ";"INEM ";"ICC ";VISUA;54
Luc;Ribeiro;LucRibeiro@cy-tech.fr;30;14.854;"CS ";"INEM ";"VISUA ";"IAC ";"ICC ";"IAP ";"HPDA ";BI;55
Charlotte;du;Charlottedu@cy-tech.fr;30;14.849;"CS ";"IAC ";"VISUA ";"INEM ";"BI ";"ICC ";"IAP ";HPDA;56
Michèle;du;Michèledu@cy-tech.fr;30;14.835;"IAP ";"HPDA ";"ICC ";"IAC ";"INEM ";"CS ";"VISUA ";BI;57
Hortense;Maillet;HortenseMaillet@cy-tech.fr;30;14.732;"IAC ";"CS ";"VISUA ";"BI ";"IAP ";"ICC ";"HPDA ";INEM;58
Françoise;Chauveau;FrançoiseChauveau@cy-tech.fr;30;14.724;"VISUA ";"INEM ";"IAP ";"IAC ";"CS ";"HPDA ";"ICC ";BI;59
Jeanne;Le;JeanneLe@cy-tech.fr;30;14.689;"IAC ";"CS ";"INEM ";"IAP ";"BI ";"HPDA ";"ICC ";VISUA;60
Louis;Giraud;LouisGiraud@cy-tech.fr;30;14.683;"BI ";"INEM ";"IAC ";"CS ";"VISUA ";"HPDA ";"IAP ";ICC;61
Hugues;Lemaire;HuguesLemaire@cy-tech.fr;30;14.65;"CS ";"ICC ";"INEM ";"IAC ";"VISUA ";"BI ";"IAP ";HPDA;62
Yves;Roy-Perret;YvesRoy-Perret@cy-tech.fr;30;14.635;"INEM ";"CS ";"IAC ";"BI ";"VISUA ";"IAP ";"ICC ";HPDA;63
Isaac;Riou;IsaacRiou@cy-tech.fr;30;14.633;"CS ";"IAC ";"INEM ";"BI ";"VISUA ";"ICC ";"IAP ";HPDA;64
Daniel;Mace-Carre;DanielMace-Carre@cy-tech.fr;30;14.632;"HPDA ";"IAC ";"VISUA ";"IAP ";"CS ";"INEM ";"ICC ";BI;65
Laurence;Normand;LaurenceNormand@cy-tech.fr;30;14.573;"IAP ";"HPDA ";"ICC ";"IAC ";"BI ";"VISUA ";"CS ";INEM;66
Antoine;Etienne;AntoineEtienne@cy-tech.fr;30;14.559;"CS ";"INEM ";"VISUA ";"BI ";"IAC ";"HPDA ";"ICC ";IAP;67
Éric;Le;ÉricLe@cy-tech.fr;30;14.557;"VISUA ";"INEM ";"IAP ";"CS ";"IAC ";"ICC ";"HPDA ";BI;68
Lucas;Rolland;LucasRolland@cy-tech.fr;30;14.549;"HPDA ";"IAP ";"IAC ";"BI ";"VISUA ";"CS ";"ICC ";INEM;69
Frédérique;Barre-Vallee;FrédériqueBarre-Vallee@cy-tech.fr;30;14.522;"CS ";"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"HPDA ";ICC;70
Laurence;Bailly;LaurenceBailly@cy-tech.fr;30;14.516;"INEM ";"IAP ";"IAC ";"ICC ";"CS ";"VISUA ";"BI ";HPDA;71
Noémi;Evrard;NoémiEvrard@cy-tech.fr;30;14.495;"IAP ";"ICC ";"HPDA ";"IAC ";"BI ";"CS ";"INEM ";VISUA;72
Thibault;Faivre;ThibaultFaivre@cy-tech.fr;30;14.348;"ICC ";"IAP ";"HPDA ";"IAC ";"CS ";"BI ";"VISUA ";INEM;73
Suzanne;de;Suzannede@cy-tech.fr;30;14.33;"IAC ";"IAP ";"VISUA ";"CS ";"HPDA ";"INEM ";"ICC ";BI;74
Eugène;Dumas;EugèneDumas@cy-tech.fr;30;14.321;"IAC ";"BI ";"CS ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;75
Michelle;Vidal;MichelleVidal@cy-tech.fr;30;14.318;"CS ";"ICC ";"VISUA ";"INEM ";"BI ";"IAC ";"IAP ";HPDA;76
René;Gomez;RenéGomez@cy-tech.fr;30;14.276;"CS ";"IAC ";"BI ";"INEM ";"IAP ";"ICC ";"HPDA ";VISUA;77
Denise;Lebreton;DeniseLebreton@cy-tech.fr;30;14.272;"IAC ";"VISUA ";"CS ";"INEM ";"BI ";"IAP ";"HPDA ";ICC;78
David;Godard-Clerc;DavidGodard-Clerc@cy-tech.fr;30;14.256;"IAP ";"ICC ";"IAC ";"INEM ";"VISUA ";"CS ";"BI ";HPDA;79
François;Leroux;FrançoisLeroux@cy-tech.fr;30;14.251;"IAC ";"IAP ";"CS ";"BI ";"ICC ";"HPDA ";"INEM ";VISUA;80
Célina;Cordier;CélinaCordier@cy-tech.fr;30;14.246;"ICC ";"CS ";"IAP ";"IAC ";"BI ";"VISUA ";"INEM ";HPDA;81
Marcelle;Turpin;MarcelleTurpin@cy-tech.fr;30;14.244;"CS ";"IAC ";"INEM ";"ICC ";"IAP ";"BI ";"HPDA ";VISUA;82
Benjamin;Guillou;BenjaminGuillou@cy-tech.fr;30;14.225;"ICC ";"INEM ";"CS ";"IAP ";"IAC ";"VISUA ";"BI ";HPDA;83
Lucas;Renault-Jean;LucasRenault-Jean@cy-tech.fr;30;14.207;"IAC ";"BI ";"ICC ";"CS ";"VISUA ";"IAP ";"INEM ";HPDA;84
Gabriel;du;Gabrieldu@cy-tech.fr;30;14.198;"ICC ";"IAP ";"HPDA ";"CS ";"IAC ";"VISUA ";"INEM ";BI;85
Anaïs;de;Anaïsde@cy-tech.fr;30;14.185;"VISUA ";"CS ";"INEM ";"IAC ";"BI ";"ICC ";"HPDA ";IAP;86
Agathe;Techer;AgatheTecher@cy-tech.fr;30;14.182;"CS ";"IAC ";"BI ";"ICC ";"INEM ";"VISUA ";"IAP ";HPDA;87
Étienne;du;Étiennedu@cy-tech.fr;30;14.17;"CS ";"IAC ";"INEM ";"VISUA ";"BI ";"ICC ";"IAP ";HPDA;88
Andrée;Richard;AndréeRichard@cy-tech.fr;30;14.137;"IAP ";"CS ";"IAC ";"HPDA ";"INEM ";"ICC ";"BI ";VISUA;89
Antoinette;Chevallier;AntoinetteChevallier@cy-tech.fr;30;14.125;"CS ";"INEM ";"BI ";"IAC ";"VISUA ";"IAP ";"HPDA ";ICC;90
Alphonse;Le;AlphonseLe@cy-tech.fr;30;14.121;"BI ";"IAC ";"CS ";"VISUA ";"HPDA ";"IAP ";"ICC ";INEM;91
Lucas;Maillard;LucasMaillard@cy-tech.fr;30;13.923;"BI ";"INEM ";"CS ";"IAC ";"VISUA ";"IAP ";"ICC ";HPDA;92
André;Leleu;AndréLeleu@cy-tech.fr;30;13.798;"CS ";"INEM ";"IAC ";"ICC ";"BI ";"VISUA ";"IAP ";HPDA;93
Emmanuel;Riou;EmmanuelRiou@cy-tech.fr;30;13.785;"CS ";"IAC ";"VISUA ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;94
David;Lesage;DavidLesage@cy-tech.fr;30;13.775;"VISUA ";"CS ";"IAC ";"ICC ";"INEM ";"IAP ";"BI ";HPDA;95
Grégoire;Dubois;GrégoireDubois@cy-tech.fr;30;13.753;"CS ";"VISUA ";"INEM ";"IAC ";"ICC ";"BI ";"IAP ";HPDA;96
Paulette;Leclercq;PauletteLeclercq@cy-tech.fr;30;13.729;"ICC ";"IAP ";"IAC ";"VISUA ";"INEM ";"CS ";"BI ";HPDA;97
Thierry;Faure;ThierryFaure@cy-tech.fr;30;13.724;"IAP ";"HPDA ";"BI ";"ICC ";"IAC ";"VISUA ";"INEM ";CS;98
Pierre;Boyer;PierreBoyer@cy-tech.fr;30;13.718;"INEM ";"CS ";"IAC ";"VISUA ";"IAP ";"BI ";"ICC ";HPDA;99
Éric;Benard-Charpentier;ÉricBenard-Charpentier@cy-tech.fr;30;13.689;"IAC ";"CS ";"ICC ";"IAP ";"VISUA ";"INEM ";"BI ";HPDA;100
Marcelle;Gauthier-Martineau;MarcelleGauthier-Martineau@cy-tech.fr;30;13.572;"ICC ";"INEM ";"IAP ";"CS ";"IAC ";"VISUA ";"BI ";HPDA;101
Christiane;Delmas;ChristianeDelmas@cy-tech.fr;30;13.454;"CS ";"IAC ";"INEM ";"VISUA ";"ICC ";"BI ";"IAP ";HPDA;102
Corinne;Cousin;CorinneCousin@cy-tech.fr;30;13.436;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"HPDA ";"BI ";VISUA;103
William;du;Williamdu@cy-tech.fr;30;13.426;"BI ";"INEM ";"CS ";"VISUA ";"IAC ";"IAP ";"HPDA ";ICC;104
Renée;Maurice;RenéeMaurice@cy-tech.fr;30;13.418;"INEM ";"IAP ";"IAC ";"VISUA ";"CS ";"HPDA ";"ICC ";BI;105
Jeanne;Poulain;JeannePoulain@cy-tech.fr;30;13.411;"BI ";"IAC ";"CS ";"VISUA ";"INEM ";"IAP ";"ICC ";HPDA;179
Zacharie;Weber;ZacharieWeber@cy-tech.fr;30;13.371;"ICC ";"CS ";"IAP ";"HPDA ";"INEM ";"BI ";"IAC ";VISUA;106
Louis;Rousseau;LouisRousseau@cy-tech.fr;30;13.354;"VISUA ";"INEM ";"IAC ";"BI ";"CS ";"IAP ";"ICC ";HPDA;107
Philippe;Hamel;PhilippeHamel@cy-tech.fr;30;13.291;"ICC ";"IAP ";"CS ";"IAC ";"VISUA ";"HPDA ";"INEM ";BI;108
Élise;Mercier;ÉliseMercier@cy-tech.fr;30;13.287;"HPDA ";"IAC ";"IAP ";"CS ";"VISUA ";"INEM ";"ICC ";BI;109
Bernard;Chauvet;BernardChauvet@cy-tech.fr;30;13.278;"IAP ";"IAC ";"ICC ";"INEM ";"CS ";"VISUA ";"HPDA ";BI;110
Théodore;Pasquier;ThéodorePasquier@cy-tech.fr;30;13.274;"CS ";"IAC ";"VISUA ";"IAP ";"ICC ";"HPDA ";"BI ";INEM;111
Adèle;Begue;AdèleBegue@cy-tech.fr;30;13.236;"IAC ";"BI ";"INEM ";"IAP ";"HPDA ";"CS ";"VISUA ";ICC;112
Adrien;Dumont;AdrienDumont@cy-tech.fr;30;13.209;"INEM ";"CS ";"VISUA ";"ICC ";"IAP ";"IAC ";"HPDA ";BI;113
Gilbert;Ferrand-Texier;GilbertFerrand-Texier@cy-tech.fr;30;13.16;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"VISUA ";"BI ";HPDA;114
Anastasie;Rocher;AnastasieRocher@cy-tech.fr;30;13.151;"IAP ";"ICC ";"HPDA ";"IAC ";"BI ";"CS ";"INEM ";VISUA;115
Franck;Le;FranckLe@cy-tech.fr;30;13.115;"ICC ";"IAP ";"CS ";"IAC ";"INEM ";"HPDA ";"BI ";VISUA;116
Michel;Renault;MichelRenault@cy-tech.fr;30;13.111;"HPDA ";"IAP ";"IAC ";"CS ";"ICC ";"BI ";"INEM ";VISUA;117
Margaud-Laure;Wagner;Margaud-LaureWagner@cy-tech.fr;30;13.095;"ICC ";"INEM ";"IAP ";"HPDA ";"IAC ";"VISUA ";"CS ";BI;118
Suzanne;de;Suzannede@cy-tech.fr;30;13.063;"CS ";"IAC ";"INEM ";"BI ";"VISUA ";"IAP ";"ICC ";HPDA;119
David;Ferrand;DavidFerrand@cy-tech.fr;30;13.017;"CS ";"INEM ";"BI ";"ICC ";"IAC ";"IAP ";"HPDA ";VISUA;120
François;Duhamel;FrançoisDuhamel@cy-tech.fr;30;13.014;"CS ";"ICC ";"IAP ";"VISUA ";"INEM ";"IAC ";"BI ";HPDA;121
Franck;Blot-Barbier;FranckBlot-Barbier@cy-tech.fr;30;12.99;"CS ";"IAC ";"VISUA ";"IAP ";"ICC ";"HPDA ";"INEM ";BI;122
Benjamin;Martins;BenjaminMartins@cy-tech.fr;30;12.989;"IAC ";"IAP ";"VISUA ";"CS ";"INEM ";"HPDA ";"ICC ";BI;123
Hugues;du;Huguesdu@cy-tech.fr;30;12.979;"IAP ";"HPDA ";"IAC ";"ICC ";"CS ";"INEM ";"VISUA ";BI;124
Joséphine;Pons-Alves;JoséphinePons-Alves@cy-tech.fr;30;12.961;"IAC ";"VISUA ";"CS ";"ICC ";"BI ";"INEM ";"IAP ";HPDA;125
Diane;Martin;DianeMartin@cy-tech.fr;30;12.893;"ICC ";"CS ";"INEM ";"VISUA ";"HPDA ";"BI ";"IAP ";IAC;126
Auguste;Fournier;AugusteFournier@cy-tech.fr;30;12.886;"IAC ";"VISUA ";"BI ";"HPDA ";"ICC ";"IAP ";"INEM ";CS;127
Théodore;Louis;ThéodoreLouis@cy-tech.fr;30;12.877;"IAC ";"IAP ";"CS ";"VISUA ";"HPDA ";"ICC ";"BI ";INEM;128
Chantal;Joubert;ChantalJoubert@cy-tech.fr;30;12.875;"INEM ";"IAC ";"VISUA ";"CS ";"IAP ";"ICC ";"BI ";HPDA;129
Inès;Bouvet;InèsBouvet@cy-tech.fr;30;12.822;"IAC ";"INEM ";"VISUA ";"CS ";"IAP ";"HPDA ";"BI ";ICC;130
Sylvie;Le;SylvieLe@cy-tech.fr;30;12.802;"CS ";"IAC ";"INEM ";"VISUA ";"BI ";"IAP ";"HPDA ";ICC;131
Anouk-Pénélope;Ollivier;Anouk-PénélopeOllivier@cy-tech.fr;30;12.756;"INEM ";"CS ";"IAC ";"VISUA ";"BI ";"IAP ";"ICC ";HPDA;132
Olivie;Evrard;OlivieEvrard@cy-tech.fr;30;12.689;"INEM ";"CS ";"IAC ";"VISUA ";"BI ";"IAP ";"ICC ";HPDA;133
François;Thomas;FrançoisThomas@cy-tech.fr;30;12.628;"BI ";"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";"ICC ";IAP;180
Augustin;Roche;AugustinRoche@cy-tech.fr;30;12.601;"VISUA ";"CS ";"IAC ";"INEM ";"HPDA ";"IAP ";"ICC ";BI;134
Marcelle;du;Marcelledu@cy-tech.fr;30;12.394;"IAC ";"CS ";"IAP ";"BI ";"ICC ";"HPDA ";"INEM ";VISUA;135
André;Bouvier;AndréBouvier@cy-tech.fr;30;12.333;"BI ";"IAC ";"CS ";"VISUA ";"INEM ";"HPDA ";"IAP ";ICC;181
Antoine;Loiseau;AntoineLoiseau@cy-tech.fr;30;12.307;"IAC ";"BI ";"VISUA ";"ICC ";"INEM ";"CS ";"HPDA ";IAP;136
Jérôme;Pottier;JérômePottier@cy-tech.fr;30;12.294;"CS ";"BI ";"IAC ";"HPDA ";"ICC ";"INEM ";"VISUA ";IAP;137
Julie;Lesage;JulieLesage@cy-tech.fr;30;12.279;"VISUA ";"INEM ";"IAC ";"CS ";"IAP ";"BI ";"HPDA ";ICC;138
Jacques;Guibert;JacquesGuibert@cy-tech.fr;30;12.247;"IAP ";"IAC ";"VISUA ";"INEM ";"HPDA ";"ICC ";"CS ";BI;139
Paulette-Valérie;Albert;Paulette-ValérieAlbert@cy-tech.fr;30;12.222;"ICC ";"IAP ";"HPDA ";"CS ";"IAC ";"INEM ";"BI ";VISUA;140
Antoine;Lefort-Letellier;AntoineLefort-Letellier@cy-tech.fr;30;12.126;"INEM ";"CS ";"IAP ";"IAC ";"BI ";"HPDA ";"ICC ";VISUA;141
Josette;de;Josettede@cy-tech.fr;30;11.888;"CS ";"BI ";"IAC ";"INEM ";"VISUA ";"HPDA ";"IAP ";ICC;142
Pénélope;Deschamps;PénélopeDeschamps@cy-tech.fr;30;11.881;"IAC ";"IAP ";"HPDA ";"CS ";"ICC ";"VISUA ";"INEM ";BI;143
Thérèse;Meyer;ThérèseMeyer@cy-tech.fr;30;11.74;"CS ";"INEM ";"IAC ";"ICC ";"IAP ";"VISUA ";"BI ";HPDA;144
Marcel;Guyot;MarcelGuyot@cy-tech.fr;30;11.629;"CS ";"INEM ";"IAC ";"IAP ";"HPDA ";"ICC ";"BI ";VISUA;145
Daniel;Bernard;DanielBernard@cy-tech.fr;30;11.59;"IAP ";"ICC ";"VISUA ";"BI ";"IAC ";"CS ";"INEM ";HPDA;146
Julie;Fernandez;JulieFernandez@cy-tech.fr;30;11.349;"ICC ";"CS ";"HPDA ";"IAP ";"IAC ";"INEM ";"VISUA ";BI;147
Hugues;Lesage;HuguesLesage@cy-tech.fr;30;11.169;"INEM ";"IAC ";"CS ";"IAP ";"ICC ";"VISUA ";"BI ";HPDA;148
Zoé;Guibert-Huet;ZoéGuibert-Huet@cy-tech.fr;30;11.063;"INEM ";"BI ";"VISUA ";"CS ";"ICC ";"HPDA ";"IAC ";IAP;149
Augustin;Gauthier;AugustinGauthier@cy-tech.fr;15;14.286;"INEM ";"CS ";"VISUA ";"IAP ";"IAC ";"ICC ";"BI ";HPDA;150
Luce;Le;LuceLe@cy-tech.fr;15;13.628;"ICC ";"INEM ";"CS ";"BI ";"VISUA ";"IAP ";"IAC ";HPDA;151
Monique;Lecomte;MoniqueLecomte@cy-tech.fr;15;13.528;"BI ";"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"HPDA ";IAP;182
Gérard;Dufour;GérardDufour@cy-tech.fr;15;13.036;"BI ";"CS ";"IAC ";"ICC ";"VISUA ";"HPDA ";"INEM ";IAP;183
William;Andre;WilliamAndre@cy-tech.fr;15;12.897;"BI ";"CS ";"VISUA ";"IAC ";"INEM ";"ICC ";"IAP ";HPDA;184
Gabriel;Blanchet;GabrielBlanchet@cy-tech.fr;15;12.597;"BI ";"IAC ";"ICC ";"CS ";"HPDA ";"IAP ";"INEM ";VISUA;185
Stéphane;Boulanger;StéphaneBoulanger@cy-tech.fr;15;12.471;"CS ";"INEM ";"ICC ";"IAP ";"IAC ";"HPDA ";"BI ";VISUA;152
Alfred;Loiseau;AlfredLoiseau@cy-tech.fr;15;12.233;"IAC ";"CS ";"HPDA ";"VISUA ";"BI ";"INEM ";"IAP ";ICC;153
Brigitte;Le;BrigitteLe@cy-tech.fr;15;12.217;"VISUA ";"CS ";"IAC ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;154
Alice;Guillot;AliceGuillot@cy-tech.fr;15;12.06;"CS ";"VISUA ";"INEM ";"IAC ";"IAP ";"BI ";"ICC ";HPDA;155
Frédérique;Maillot-Guyot;FrédériqueMaillot-Guyot@cy-tech.fr;15;11.851;"BI ";"INEM ";"IAC ";"HPDA ";"IAP ";"VISUA ";"CS ";ICC;186
Lucy;Le;LucyLe@cy-tech.fr;15;11.79;"CS ";"IAC ";"BI ";"INEM ";"IAP ";"ICC ";"VISUA ";HPDA;156
Madeleine;Charpentier-Leroux;MadeleineCharpentier-Leroux@cy-tech.fr;15;11.763;"IAC ";"CS ";"BI ";"VISUA ";"INEM ";"HPDA ";"IAP ";ICC;157
Emmanuel;du;Emmanueldu@cy-tech.fr;15;11.617;"IAC ";"BI ";"HPDA ";"IAP ";"VISUA ";"CS ";"INEM ";ICC;158
Bernard;de;Bernardde@cy-tech.fr;15;11.602;"CS ";"INEM ";"BI ";"IAC ";"VISUA ";"IAP ";"ICC ";HPDA;159
Céline;Auger;CélineAuger@cy-tech.fr;15;11.535;"IAC ";"INEM ";"CS ";"BI ";"VISUA ";"HPDA ";"IAP ";ICC;160
Auguste;Picard;AugustePicard@cy-tech.fr;15;11.53;"IAP ";"ICC ";"IAC ";"CS ";"VISUA ";"INEM ";"HPDA ";BI;161
